Mode of Transport,Year,Reporting Period,Days in period,Period beginning,Period ending,Value_in_millions
0,2019,10,28,2018-12-09,2019-01-05,144.9
0,2019,11,28,2019-01-06,2019-02-02,171.3
0,2019,12,28,2019-02-03,2019-03-02,171.3
0,2019,13,29,2019-03-03,2019-03-31,182.7
0,2019,1,28,2019-04-01,2019-04-27,156.6
0,2019,2,28,2019-04-28,2019-05-25,175.2
0,2019,3,28,2019-05-26,2019-06-22,171.4
0,2019,4,28,2019-06-23,2019-07-20,177.0
0,2019,5,28,2019-07-21,2019-08-17,149.8
0,2019,6,28,2019-08-18,2019-09-14,159.8
0,2019,7,28,2019-09-15,2019-10-12,179.3
0,2019,8,28,2019-10-13,2019-11-09,168.9
0,2019,9,28,2019-11-10,2019-12-07,176.2
0,2020,10,28,2019-12-08,2020-01-04,141.0
0,2020,11,28,2020-01-05,2020-02-01,169.4
0,2020,12,28,2020-02-02,2020-02-29,165.2
0,2020,13,29,2020-03-01,2020-03-31,126.4
0,2020,1,28,2020-04-01,2020-05-02,30.2
0,2020,2,28,2020-05-03,2020-05-30,32.5
0,2020,3,28,2020-05-31,2020-06-27,47.0
0,2020,4,28,2020-06-28,2020-07-25,66.7
0,2020,5,28,2020-07-26,2020-08-22,75.2
0,2020,6,28,2020-08-23,2020-09-19,94.8
0,2020,7,28,2020-09-20,2020-10-17,102.0
0,2020,8,28,2020-10-18,2020-11-14,88.9
0,2020,9,28,2020-11-15,2020-12-12,89.0
0,2021,10,28,2020-12-13,2021-01-09,57.5
0,2021,11,28,2021-01-10,2021-02-06,51.6
0,2021,12,28,2021-02-07,2021-03-06,56.9
0,2021,13,29,2021-03-07,2021-03-31,72.9
0,2021,1,31,2021-04-01,2021-05-01,95.9
0,2021,2,28,2021-05-02,2021-05-29,104.3
0,2021,3,28,2021-05-30,2021-06-26,107.0
0,2021,4,28,2021-06-27,2021-07-24,109.1
0,2021,5,28,2021-07-25,2021-08-21,98.8
0,2021,6,28,2021-08-22,2021-09-18,115.5
0,2021,7,28,2021-09-19,2021-10-16,130.2
0,2021,8,28,2021-10-17,2021-11-13,125.4
0,2021,9,28,2021-11-14,2021-12-11,131.3
0,2022,10,28,2021-12-12,2022-01-08,95.1
0,2022,11,28,2022-01-09,2022-02-05,123.5
0,2022,12,28,2022-02-06,2022-03-05,127.8
0,2022,13,26,2022-03-06,2022-03-31,126.7
0,2022,1,30,2022-04-01,2022-04-30,135.0
0,2022,2,28,2022-05-01,2022-05-28,140.5
0,2022,3,28,2022-05-29,2022-06-25,138.0
0,2022,4,28,2022-06-26,2022-07-23,137.8
0,2022,5,28,2022-07-24,2022-08-20,122.5
0,2022,6,28,2022-08-21,2022-09-17,132.9
0,2022,7,28,2022-09-18,2022-10-15,147.0
0,2022,8,28,2022-10-16,2022-11-12,143.1
0,2022,9,28,2022-11-13,2022-12-10,146.0
0,2023,10,28,2022-12-11,2023-01-07,116.9
0,2023,11,28,2023-01-08,2023-02-04,141.3
0,2023,12,28,2023-02-05,2023-03-04,141.6
0,2023,13,27,2023-03-05,2023-03-31,142.2
0,2023,1,29,2023-04-01,2023-04-29,140.9
0,2023,2,28,2023-04-30,2023-05-27,146.0
0,2023,3,28,2023-05-28,2023-06-24,145.8
0,2023,4,28,2023-06-25,2023-07-22,147.1
0,2023,5,28,2023-07-23,2023-08-19,129.7
0,2023,6,28,2023-08-20,2023-09-16,139.6
0,2023,7,28,2023-09-17,2023-10-14,155.4
0,2023,8,28,2023-10-15,2023-11-11,146.4
6,2019,10,28,2018-12-09,2019-01-05,91.9
6,2019,11,28,2019-01-06,2019-02-02,106.7
6,2019,12,28,2019-02-03,2019-03-02,110.8
6,2019,13,29,2019-03-03,2019-03-31,114.1
6,2019,1,28,2019-04-01,2019-04-27,101.2
6,2019,2,28,2019-04-28,2019-05-25,106.1
6,2019,3,28,2019-05-26,2019-06-22,108.0
6,2019,4,28,2019-06-23,2019-07-20,111.7
6,2019,5,28,2019-07-21,2019-08-17,103.0
6,2019,6,28,2019-08-18,2019-09-14,99.4
6,2019,7,28,2019-09-15,2019-10-12,112.2
6,2019,8,28,2019-10-13,2019-11-09,113.3
6,2019,9,28,2019-11-10,2019-12-07,117.5
6,2020,10,28,2019-12-08,2020-01-04,91.2
6,2020,11,28,2020-01-05,2020-02-01,105.8
6,2020,12,28,2020-02-02,2020-02-29,106.2
6,2020,13,29,2020-03-01,2020-03-31,60.9
6,2020,1,28,2020-04-01,2020-05-02,5.7
6,2020,2,28,2020-05-03,2020-05-30,6.7
6,2020,3,28,2020-05-31,2020-06-27,13.3
6,2020,4,28,2020-06-28,2020-07-25,22.2
6,2020,5,28,2020-07-26,2020-08-22,28.8
6,2020,6,28,2020-08-23,2020-09-19,36.3
6,2020,7,28,2020-09-20,2020-10-17,39.5
6,2020,8,28,2020-10-18,2020-11-14,33.7
6,2020,9,28,2020-11-15,2020-12-12,32.1
6,2021,10,28,2020-12-13,2021-01-09,18.8
6,2021,11,28,2021-01-10,2021-02-06,16.8
6,2021,12,28,2021-02-07,2021-03-06,19.8
6,2021,13,29,2021-03-07,2021-03-31,22.4
6,2021,1,31,2021-04-01,2021-05-01,37.4
6,2021,2,28,2021-05-02,2021-05-29,42.5
6,2021,3,28,2021-05-30,2021-06-26,48.6
6,2021,4,28,2021-06-27,2021-07-24,49.6
6,2021,5,28,2021-07-25,2021-08-21,51.6
6,2021,6,28,2021-08-22,2021-09-18,58.2
6,2021,7,28,2021-09-19,2021-10-16,69.7
6,2021,8,28,2021-10-17,2021-11-13,73.7
6,2021,9,28,2021-11-14,2021-12-11,75.8
6,2022,10,28,2021-12-12,2022-01-08,45.4
6,2022,11,28,2022-01-09,2022-02-05,60.2
6,2022,12,28,2022-02-06,2022-03-05,65.4
6,2022,13,26,2022-03-06,2022-03-31,70.4
