Week,Mode of Transport,Year,VALUE
0,2,2019,1987891.0
0,1,2019,497598.0
0,3,2019,1491543.5
0,0,2019,2485489.0
1,2,2019,2709579.0
1,1,2019,633764.0
1,3,2019,1988553.5
1,0,2019,3343343.0
2,2,2019,2784678.0
2,1,2019,678097.0
2,3,2019,2070436.0
2,0,2019,3462775.0
3,2,2019,2858346.0
3,1,2019,676140.0
3,3,2019,2105313.0
3,0,2019,3534486.0
4,2,2019,2924821.0
4,1,2019,672440.0
4,3,2019,2134850.5
4,0,2019,3597261.0
5,2,2019,2979960.0
5,1,2019,696573.0
5,3,2019,2186553.0
5,0,2019,3676533.0
6,2,2019,3053710.0
6,1,2019,736594.0
6,3,2019,2263449.0
6,0,2019,3790304.0
7,2,2019,2927041.0
7,1,2019,677931.0
7,3,2019,2141451.5
7,0,2019,3604972.0
8,2,2019,2989171.0
8,1,2019,706297.0
8,3,2019,2200882.5
8,0,2019,3695468.0
9,2,2019,3065148.0
9,1,2019,718505.0
9,3,2019,2251079.0
9,0,2019,3783653.0
10,2,2019,2998440.0
10,1,2019,731042.0
10,3,2019,2230262.0
10,0,2019,3729482.0
11,2,2019,2742468.0
11,1,2019,665202.0
11,3,2019,2036436.0
11,0,2019,3407670.0
12,2,2019,3136873.0
12,1,2019,749734.0
12,3,2019,2318170.5
12,0,2019,3886607.0
13,2,2019,3087216.0
13,1,2019,725196.0
13,3,2019,2268804.0
13,0,2019,3812412.0
14,2,2019,3101074.0
14,1,2019,717874.0
14,3,2019,2268411.0
14,0,2019,3818948.0
15,2,2019,2723661.0
15,1,2019,636735.0
15,3,2019,1998565.5
15,0,2019,3360396.0
16,2,2019,2535513.0
16,1,2019,601236.0
16,3,2019,1868992.5
16,0,2019,3136749.0
17,2,2019,2990676.0
17,1,2019,727961.0
17,3,2019,2223299.0
17,0,2019,3718637.0
18,2,2019,2719955.0
18,1,2019,650874.0
18,3,2019,2010851.5
18,0,2019,3370829.0
19,2,2019,2960967.0
19,1,2019,691221.0
19,3,2019,2171704.5
19,0,2019,3652188.0
20,2,2019,2938021.0
20,1,2019,701342.0
20,3,2019,2170352.5
20,0,2019,3639363.0
21,2,2019,2900323.0
21,1,2019,681399.0
21,3,2019,2131560.5
21,0,2019,3581722.0
22,2,2019,2591616.0
22,1,2019,617748.0
22,3,2019,1913556.0
22,0,2019,3209364.0
23,2,2019,2844409.0
23,1,2019,669882.0
23,3,2019,2092086.5
23,0,2019,3514291.0
24,2,2019,2826773.0
24,1,2019,680777.0
24,3,2019,2094163.5
24,0,2019,3507550.0
25,2,2019,2840156.0
25,1,2019,686867.0
25,3,2019,2106945.0
25,0,2019,3527023.0
26,2,2019,2953254.0
26,1,2019,705163.0
26,3,2019,2181790.0
26,0,2019,3658417.0
27,2,2019,2954091.0
27,1,2019,713037.0
27,3,2019,2190082.5
27,0,2019,3667128.0
28,2,2019,2895372.0
28,1,2019,701340.0
28,3,2019,2149026.0
28,0,2019,3596712.0
29,2,2019,2939485.0
29,1,2019,713657.0
29,3,2019,2183399.5
29,0,2019,3653142.0
30,2,2019,2725260.0
30,1,2019,680616.0
30,3,2019,2043246.0
30,0,2019,3405876.0
31,2,2019,2547806.0
31,1,2019,616761.0
31,3,2019,1890664.0
31,0,2019,3164567.0
32,2,2019,2724875.0
32,1,2019,697890.0
32,3,2019,2060327.5
32,0,2019,3422765.0
33,2,2019,2793023.0
33,1,2019,689702.0
33,3,2019,2086213.5
33,0,2019,3482725.0
34,2,2019,2872215.0
34,1,2019,695388.0
34,3,2019,2131495.5
34,0,2019,3567603.0
35,2,2019,2999569.0
35,1,2019,744038.0
35,3,2019,2243822.5
35,0,2019,3743607.0
36,2,2019,3109763.0
36,1,2019,820112.0
36,3,2019,2374993.5
36,0,2019,3929875.0
37,2,2019,3182473.0
37,1,2019,828356.0
37,3,2019,2419592.5
37,0,2019,4010829.0
38,2,2019,3204042.0
38,1,2019,814190.0
38,3,2019,2416211.0
38,0,2019,4018232.0
39,2,2019,3139165.0
39,1,2019,776594.0
39,3,2019,2346176.5
39,0,2019,3915759.0
40,2,2019,3243670.0
40,1,2019,824314.0
40,3,2019,2446149.0
40,0,2019,4067984.0
41,2,2019,3238993.0
41,1,2019,805498.0
41,3,2019,2424994.5
41,0,2019,4044491.0
42,2,2019,3170924.0
42,1,2019,824331.0
42,3,2019,2409793.0
42,0,2019,3995255.0
43,2,2019,2708101.0
43,1,2019,655906.0
43,3,2019,2009956.5
43,0,2019,3364007.0
44,2,2019,3130443.0
44,1,2019,775922.0
44,3,2019,2341143.5
44,0,2019,3906365.0
45,2,2019,3206894.0
45,1,2019,783830.0
45,3,2019,2387277.0
45,0,2019,3990724.0
46,2,2019,3192052.0
46,1,2019,772760.0
46,3,2019,2368786.0
46,0,2019,3964812.0
47,2,2019,3251721.0
47,1,2019,794233.0
47,3,2019,2420093.5
47,0,2019,4045954.0
48,2,2019,3215990.0
48,1,2019,773085.0
48,3,2019,2381080.0
48,0,2019,3989075.0
49,2,2019,3271738.0
49,1,2019,768340.0
49,3,2019,2404209.0
49,0,2019,4040078.0
50,2,2019,3166707.0
50,1,2019,900418.0
50,3,2019,2483771.5
50,0,2019,4067125.0
51,2,2019,1599369.0
51,1,2019,397160.0
51,3,2019,1196844.5
51,0,2019,1996529.0
52,2,2019,1991333.2
52,1,2019,1986137.4
52,3,2019,1980941.6
52,0,2019,1975745.8
0,2,2020,1970550.0
0,1,2020,523817.0
0,3,2020,697954.0
0,0,2020,3192321.0
1,2,2020,2830713.0
1,1,2020,652672.0
1,3,2020,899175.0
1,0,2020,4382560.0
2,2,2020,2907797.0
2,1,2020,693102.0
2,3,2020,925257.0
2,0,2020,4526156.0
3,2,2020,3076009.0
3,1,2020,747531.0
3,3,2020,959703.0
3,0,2020,4783243.0
4,2,2020,3152056.0
4,1,2020,755189.0
4,3,2020,1019494.0
4,0,2020,4926739.0
5,2,2020,3104689.0
5,1,2020,748401.0
5,3,2020,1041672.0
5,0,2020,4894762.0
6,2,2020,3097986.0
6,1,2020,729974.0
6,3,2020,908680.0
6,0,2020,4736640.0
7,2,2020,3046425.0
7,1,2020,728267.0
7,3,2020,954421.0
7,0,2020,4729113.0
8,2,2020,3145979.0
8,1,2020,738222.0
8,3,2020,946324.0
8,0,2020,4830525.0
9,2,2020,3103704.0
9,1,2020,755581.0
9,3,2020,851347.0
9,0,2020,4710632.0
10,2,2020,2451496.0
10,1,2020,585892.0
10,3,2020,907046.0
10,0,2020,3944434.0
11,2,2020,828756.0
11,1,2020,189509.0
11,3,2020,627170.0
11,0,2020,1645435.0
12,2,2020,593463.0
12,1,2020,143429.0
12,3,2020,77149.0
12,0,2020,814041.0
13,2,2020,365560.0
13,1,2020,85598.0
13,3,2020,26302.0
13,0,2020,477460.0
14,2,2020,374262.0
14,1,2020,91529.0
14,3,2020,23231.0
14,0,2020,489022.0
15,2,2020,361266.0
15,1,2020,85871.0
15,3,2020,28071.0
15,0,2020,475208.0
16,2,2020,408826.0
16,1,2020,100755.0
16,3,2020,32787.0
16,0,2020,542368.0
17,2,2020,433369.0
17,1,2020,106193.0
17,3,2020,35354.0
17,0,2020,574916.0
18,2,2020,449887.0
18,1,2020,110131.0
18,3,2020,38142.0
18,0,2020,598160.0
19,2,2020,504279.0
19,1,2020,122686.0
19,3,2020,44431.0
19,0,2020,671396.0
20,2,2020,631921.0
20,1,2020,149607.0
20,3,2020,69766.0
20,0,2020,851294.0
21,2,2020,740034.0
21,1,2020,171072.0
21,3,2020,98967.0
21,0,2020,1010073.0
22,2,2020,717292.0
22,1,2020,169871.0
22,3,2020,101021.0
22,0,2020,988184.0
23,2,2020,885658.0
23,1,2020,219384.0
23,3,2020,138791.0
23,0,2020,1243833.0
24,2,2020,1004952.0
24,1,2020,250295.0
24,3,2020,170670.0
24,0,2020,1425917.0
25,2,2020,1050419.0
25,1,2020,259592.0
25,3,2020,199508.0
25,0,2020,1509519.0
26,2,2020,1215359.0
26,1,2020,305350.0
26,3,2020,261970.0
26,0,2020,1782679.0
27,2,2020,1301584.0
27,1,2020,338931.0
27,3,2020,261970.0
27,0,2020,1902485.0
28,2,2020,1317821.0
28,1,2020,347104.0
28,3,2020,278033.0
28,0,2020,1942958.0
29,2,2020,1345580.0
29,1,2020,358836.0
29,3,2020,286232.0
29,0,2020,1990648.0
30,2,2020,1390530.0
30,1,2020,369536.0
30,3,2020,305731.0
30,0,2020,2065797.0
31,2,2020,1340117.0
31,1,2020,357425.0
31,3,2020,323489.0
31,0,2020,2021031.0
32,2,2020,1404722.0
32,1,2020,382286.0
32,3,2020,295557.0
32,0,2020,2082565.0
33,2,2020,1369602.0
33,1,2020,354355.0
33,3,2020,258999.0
33,0,2020,1982956.0
34,2,2020,1448462.0
34,1,2020,390235.0
34,3,2020,285663.0
34,0,2020,2124360.0
35,2,2020,1580362.0
35,1,2020,418714.0
35,3,2020,332558.0
35,0,2020,2331634.0
36,2,2020,1642110.0
36,1,2020,427899.0
36,3,2020,346681.0
36,0,2020,2416690.0
37,2,2020,1578521.0
37,1,2020,432729.0
37,3,2020,323907.0
37,0,2020,2335157.0
38,2,2020,1517678.0
38,1,2020,438357.0
38,3,2020,289803.0
